knelpunt_nummer,knelpunt_naam,knelpunt_omschrijving,rapport_nummer,rapport_naam,rapport_bestandsnaam,maatregel_nummer,maatregel_naam,toelichting_budgettair_effect,budgettair_effect_structureel,range_maximum
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,167,Aanpassing giftenaftrek door afschaffing multiplier, ,0.01, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,168,Afschaffing giftenaftrek, ,0.39, 
2, Het stelsel raakt uitgewerkt,De continuiteit in de diensverlening door de Belastingdienst staat onder druk mede dankzij complexe wetten. Er is een sterke prikkel om fiscale regelingen in te zetten bij beleid en ineffectieve fiscale regelingen worden zelden afgeschaft. Het fiscale inkomens- en participatiebeleid loopt daarbij tegen grenzen aan waardoor intensivering van dit beleid niet meer effectief is en leidt tot ongewenste effecten. De problemen in het toeslagenstelsel zijn groot en het toeslagenstelsel is aan vervanging toe.,10, Vereenvoudiging belastingstelsel,10. vereenvoudiging-belastingstelsel.pdf,169,Aanpassing giftenaftrek, ,0.06, 
3, De opkomst van de flex en platformeconomie vraagt om aanpassing van wet en uitvoering,"De groei van de deel- en kluseconomie via platforms leidt tot een groei van niet-reguliere arbeid en levert nieuwe uitdagingen aan ons belastingstelsel.  Het risico bestaat dat een groeiende groep belastingplichtigen hun inkomsten niet goed, niet geheel of geheel niet aangeven. De ongelijke fiscale behandeling tussen verschillende vormen van werk versterkt dit effect. ",3, Het belasten van inkomsten behaald uit de deel- en kluseconomie,3. het-belasten-van-inkomsten-behaald-uit-de-deel-en-kluseconomie.pdf,34,Verplichte datalevering door digitale platforms aan de Belastingdienst, ,0, 
3, De opkomst van de flex en platformeconomie vraagt om aanpassing van wet en uitvoering,"De groei van de deel- en kluseconomie via platforms leidt tot een groei van niet-reguliere arbeid en levert nieuwe uitdagingen aan ons belastingstelsel.  Het risico bestaat dat een groeiende groep belastingplichtigen hun inkomsten niet goed, niet geheel of geheel niet aangeven. De ongelijke fiscale behandeling tussen verschillende vormen van werk versterkt dit effect. ",3, Het belasten van inkomsten behaald uit de deel- en kluseconomie,3. het-belasten-van-inkomsten-behaald-uit-de-deel-en-kluseconomie.pdf,35,Inhoudingsplicht voor platformaanbieders voor alle individuele aanbieders, ,0, 
3, De opkomst van de flex en platformeconomie vraagt om aanpassing van wet en uitvoering,"De groei van de deel- en kluseconomie via platforms leidt tot een groei van niet-reguliere arbeid en levert nieuwe uitdagingen aan ons belastingstelsel.  Het risico bestaat dat een groeiende groep belastingplichtigen hun inkomsten niet goed, niet geheel of geheel niet aangeven. De ongelijke fiscale behandeling tussen verschillende vormen van werk versterkt dit effect. ",3, Het belasten van inkomsten behaald uit de deel- en kluseconomie,3. het-belasten-van-inkomsten-behaald-uit-de-deel-en-kluseconomie.pdf,36,Vereenvoudiging belastingregels, ,0, 
3, De opkomst van de flex en platformeconomie vraagt om aanpassing van wet en uitvoering,"De groei van de deel- en kluseconomie via platforms leidt tot een groei van niet-reguliere arbeid en levert nieuwe uitdagingen aan ons belastingstelsel.  Het risico bestaat dat een groeiende groep belastingplichtigen hun inkomsten niet goed, niet geheel of geheel niet aangeven. De ongelijke fiscale behandeling tussen verschillende vormen van werk versterkt dit effect. ",3, Het belasten van inkomsten behaald uit de deel- en kluseconomie,3. het-belasten-van-inkomsten-behaald-uit-de-deel-en-kluseconomie.pdf,37,Voorlichting door de platforms en de Belastingdienst, ,0, 
3, De opkomst van de flex en platformeconomie vraagt om aanpassing van wet en uitvoering,"De groei van de deel- en kluseconomie via platforms leidt tot een groei van niet-reguliere arbeid en levert nieuwe uitdagingen aan ons belastingstelsel.  Het risico bestaat dat een groeiende groep belastingplichtigen hun inkomsten niet goed, niet geheel of geheel niet aangeven. De ongelijke fiscale behandeling tussen verschillende vormen van werk versterkt dit effect. ",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,91,Aanpassen regeling tijdelijke verhuur eigen woning, ,0.082, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,18,Afschaffen lage tarief Vpb, ,1.72, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,19,Verhoging box 2-tarief naar 30% (of 35%), ,0.3,0.7
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,20,Afschaffen doelmatigheidsmarge gebruikelijk loon, ,0.212, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,21,Versobering uitzondering van eigenwoningschulden van het wetsvoorstel excessief lenen bij de eigen vennootschap, ,0, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,22,Verlagen van de schuldengrens in het wetsvoorstel excessief lenen bij eigen vennootschap naar € 17.500, ,0.055, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,23,Nieuwe eigenwoningschulden vallen ook onder wetsvoorstel excessief lenen bij eigen vennootschap , ,0.015, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,24,Tariefopstap in box 2, ,0.144, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,25,Invoering forfaitair rendement box 2, ,0.043, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,26,Afschaffing DSR voor het aanmerkelijk belang in de IB voor vererving en schenking, ,0.08, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,27,Kleine aanmerkelijk belangpakketten uitzonderen van BOR,Nader te bepalen,-, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,28,Verhuurd vastgoed standaard aanmerken als beleggingsvermogen voor de DSR en BOR, ,0, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,29,Verlaging vrijstelling waarde going concern naar 25% en aftopping op € 5 miljoen in de BOR, ,0.24, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,30, Afschaffen van vrijstelling waarde going concern in de BOR, ,0.29, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,31,Invoeren gebruikelijk kapitaalregeling,Nader te bepalen,-, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,32,Rente over ingehouden winsten in de bv belasten in box 2,Nader te bepalen,-, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",4, Belasten van (inkomen uit) aanmerkelijk belang,4. belasten-van-inkomen-uit-aanmerkelijk-belang.pdf,33,Invoering aandeelhoudersregister, ,0, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,81,"Eigen woning naar box 3 met generieke vrijstelling gelijk aan de gemiddelde WOZ- waarde, borgen aflossingseis", ,3.1, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,82,"Versneld afbouwen HRA en EWF (naar een vorm van ‘defiscaliseren’), borgen aflossingseis", ,3.1, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,83,"Afbouw HRA en EWF in huidig pad (in 2036 uitgefaseerd), borgen aflossingseis (70%)", ,3.1, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,84,"Bevriezing EWF op 0,6% en verhoging EWF voor woningen boven € 300.000 (gemiddelde woningprijs)", ,3.6, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,85,"Beperken HRA tot € 300.000, vervallen bijleenregeling, vervallen dertig-jaarstermijn en vervallen fiscale toets aflossingsverplichting", ,0.8, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,86,Afschaffen overdrachtsbelasting woningen, ,1.4, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,87,Schenkingsvrijstelling eigen woning afschaffen, ,0.2, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,88,Invoering progressief tarief in box 3 boven 1 mln, ,0.3, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,89,Invoering vermogensbelasting van 1% boven 1 mln, ,0.7, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,90,Afschrijvingsbeperking gebouwen in Vpb doortrekken naar IB-onderneming, ,0.002, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,91,Aanpassen regeling tijdelijke verhuur eigen woning, ,0.082, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,92,Fbi mag niet meer direct in vastgoed beleggen, ,0.054, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,93,Schenk- en erfbelasting; hoger tarief grote vermogens, ,0, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,94,Schenk- en erfbelasting; gelijktrekken tarieven kinderen en kleinkinderen, ,0.4, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,95,Schenk- en erfbelasting; beperking estateplanning in huwelijk, ,0, 
4, Ongelijke belasting van vermogen leidt tot arbitrage en uitstel,"Het vermogen van Nlse huishoudens bedraagt bijna €3000 miljard, dat is bijna 4 keer zo hoog als het bbp in 2018. Het vermogen is daarbij zeer ongelijk verdeeld, veel ongelijker als inkomen uit arbeid. Daarbij wordt verschillend vermogen verschillend belast wat leidt tot arbitrage en uitstel en is de opbrengst relatief laag tov belasting op inkomen. De fiscale wetgeving draagt daarmee bij  aan vermogenongelijkheid.",5, Belasten van vermogen,5. belasten-van-vermogen.pdf,96,Schenk- en erfbelasting; rekening houden met verschillen in leefvormen,Nader te bepalen,-, 
5, Het belasten van winst wordt (nationaal) steeds lastiger,"De vennootschapsbelasting (Vpb) is een belangrijk onderdeel van het belasten van kapitaalinkomen (winst). Voor met name grote bedrijven geldt dat zij in hun keuzes gevoelig tonen  voor de hoogte en vormgeving van de Vpb. De afgelopen jaren is er toenemende aandacht geweest voor het thema belastingontwijking, vanuit de indruk dat sommige bedrijven niet altijd hun steentje bijdragen. Door trends zoals globalisering, het belang van intellectueel eigendom en digitalisering neemt de ruimte voor nationaal beleid af.",11, Op weg naar balans in de vennootschapsbelasting (Advies Commissie Belastingheffing van multinationals),11. Rapport+Adviescommissie+ter+Haar.pdf,119,"Begrens de jaarlijkse verliesverrekening, in combinatie met onbeperkte voortwenteling", ,0.4, 
5, Het belasten van winst wordt (nationaal) steeds lastiger,"De vennootschapsbelasting (Vpb) is een belangrijk onderdeel van het belasten van kapitaalinkomen (winst). Voor met name grote bedrijven geldt dat zij in hun keuzes gevoelig tonen  voor de hoogte en vormgeving van de Vpb. De afgelopen jaren is er toenemende aandacht geweest voor het thema belastingontwijking, vanuit de indruk dat sommige bedrijven niet altijd hun steentje bijdragen. Door trends zoals globalisering, het belang van intellectueel eigendom en digitalisering neemt de ruimte voor nationaal beleid af.",11, Op weg naar balans in de vennootschapsbelasting (Advies Commissie Belastingheffing van multinationals),11. Rapport+Adviescommissie+ter+Haar.pdf,120,Aftrekbeperking op aandeelhouderskosten,Nader te bepalen,-, 
5, Het belasten van winst wordt (nationaal) steeds lastiger,"De vennootschapsbelasting (Vpb) is een belangrijk onderdeel van het belasten van kapitaalinkomen (winst). Voor met name grote bedrijven geldt dat zij in hun keuzes gevoelig tonen  voor de hoogte en vormgeving van de Vpb. De afgelopen jaren is er toenemende aandacht geweest voor het thema belastingontwijking, vanuit de indruk dat sommige bedrijven niet altijd hun steentje bijdragen. Door trends zoals globalisering, het belang van intellectueel eigendom en digitalisering neemt de ruimte voor nationaal beleid af.",11, Op weg naar balans in de vennootschapsbelasting (Advies Commissie Belastingheffing van multinationals),11. Rapport+Adviescommissie+ter+Haar.pdf,121,Onderzoek aftrekbeperking op royalty’s binnen concern,Nader te bepalen,-, 
